t_s,V_m_V,x,R_obj_ohm,R_theo_ohm,diff_rel
0.000000,0.000000,0.050063,475469.0852,475469.0852,0.000e+00
0.001580,0.095246,0.054893,473102.4771,473102.4771,0.000e+00
0.003160,0.181995,0.059435,470877.0374,470877.0374,0.000e+00
0.004740,0.260973,0.063712,468781.1131,468781.1131,0.000e+00
0.006320,0.332848,0.067747,466803.9048,466803.9048,0.000e+00
0.007900,0.398235,0.071560,464935.4215,464935.4215,0.000e+00
0.009480,0.457701,0.075171,463166.4358,463166.4358,0.000e+00
0.011060,0.511767,0.078595,461488.4385,461488.4385,0.000e+00
0.012640,0.560909,0.081850,459893.5934,459893.5934,0.000e+00
0.014220,0.605566,0.084950,458374.6943,458374.6943,0.000e+00
0.015800,0.646140,0.087908,456925.1215,456925.1215,0.000e+00
0.017380,0.682997,0.090737,455538.8017,455538.8017,0.000e+00
0.018960,0.716473,0.093449,454210.1679,454210.1679,0.000e+00
0.020540,0.746874,0.096053,452934.1226,452934.1226,0.000e+00
0.022120,0.774482,0.098559,451706.0022,451706.0022,0.000e+00
0.023700,0.799551,0.100976,450521.5432,450521.5432,0.000e+00
0.025280,0.822314,0.103313,449376.8513,449376.8513,0.000e+00
0.026860,0.842984,0.105575,448268.3717,448268.3717,0.000e+00
0.028440,0.861753,0.107770,447192.8616,447192.8616,0.000e+00
0.030020,0.878799,0.109903,446147.3646,446147.3646,0.000e+00
0.031600,0.894282,0.111981,445129.1868,445129.1868,0.000e+00
0.033180,0.908346,0.114008,444135.8749,444135.8749,0.000e+00
0.034760,0.921124,0.115989,443165.1958,443165.1958,0.000e+00
0.036340,0.932737,0.117928,442215.1178,442215.1178,0.000e+00
0.037920,0.943295,0.119829,441283.7927,441283.7927,0.000e+00
0.039500,0.952895,0.121695,440369.5407,440369.5407,0.000e+00
0.041080,0.961629,0.123529,439470.8349,439470.8349,0.000e+00
0.042660,0.969579,0.125334,438586.2883,438586.2883,0.000e+00
0.044240,0.976818,0.127113,437714.6409,437714.6409,0.000e+00
0.045820,0.983414,0.128868,436854.7492,436854.7492,0.000e+00
0.047400,0.989428,0.130601,436005.5748,436005.5748,0.000e+00
0.048980,0.994915,0.132314,435166.1756,435166.1756,0.000e+00
0.050560,0.999925,0.134009,434335.6970,434335.6970,0.000e+00
0.052140,0.036843,0.139274,431755.4991,431755.4991,0.000e+00
0.053720,0.137752,0.144308,429288.8604,429288.8604,0.000e+00
0.055300,0.229107,0.149009,426985.4327,426985.4327,0.000e+00
0.056880,0.311767,0.153406,424831.0051,424831.0051,0.000e+00
0.058460,0.386523,0.157526,422812.4438,422812.4438,0.000e+00
0.060040,0.454098,0.161393,420917.6379,420917.6379,0.000e+00
0.061620,0.515158,0.165030,419135.4437,419135.4437,0.000e+00
0.063200,0.570309,0.168458,417455.6269,417455.6269,0.000e+00
0.064780,0.620108,0.171696,415868.8053,415868.8053,0.000e+00
0.066360,0.665059,0.174762,414366.3923,414366.3923,0.000e+00
0.067940,0.705625,0.177672,412940.5406,412940.5406,0.000e+00
0.069520,0.742225,0.180441,411584.0893,411584.0893,0.000e+00
0.071100,0.775241,0.183081,410290.5115,410290.5115,0.000e+00
0.072680,0.805021,0.185604,409053.8654,409053.8654,0.000e+00
0.074260,0.831877,0.188023,407868.7476,407868.7476,0.000e+00
0.075840,0.856097,0.190346,406730.2494,406730.2494,0.000e+00
0.077420,0.877937,0.192584,405633.9151,405633.9151,0.000e+00
0.079000,0.897633,0.194743,404575.7039,404575.7039,0.000e+00
0.080580,0.915396,0.196833,403551.9539,403551.9539,0.000e+00
0.082160,0.931417,0.198858,402559.3492,402559.3492,0.000e+00
0.083740,0.945870,0.200827,401594.8888,401594.8888,0.000e+00
0.085320,0.958910,0.202743,400655.8585,400655.8585,0.000e+00
0.086900,0.970680,0.204613,399739.8049,399739.8049,0.000e+00
0.088480,0.981305,0.206440,398844.5115,398844.5115,0.000e+00
0.090060,0.990902,0.208229,397967.9766,397967.9766,0.000e+00
0.091640,0.999573,0.209983,397108.3935,397108.3935,0.000e+00
0.093220,0.035883,0.215489,394410.2616,394410.2616,0.000e+00
0.094800,0.146234,0.220880,391768.9142,391768.9142,0.000e+00
0.096380,0.245532,0.225876,389320.9943,389320.9943,0.000e+00
0.097960,0.334819,0.230513,387048.8561,387048.8561,0.000e+00
0.099540,0.415050,0.234824,384936.2174,384936.2174,0.000e+00
0.101120,0.487100,0.238841,382968.0992,382968.0992,0.000e+00
0.102700,0.551768,0.242590,381130.7590,381130.7590,0.000e+00
0.104280,0.609782,0.246099,379411.6204,379411.6204,0.000e+00
0.105860,0.661803,0.249389,377799.2002,377799.2002,0.000e+00
0.107440,0.708432,0.252484,376283.0359,376283.0359,0.000e+00
0.109020,0.750214,0.255401,374853.6126,374853.6126,0.000e+00
0.110600,0.787643,0.258159,373502.2928,373502.2928,0.000e+00
0.112180,0.821163,0.260773,372221.2476,372221.2476,0.000e+00
0.113760,0.851178,0.263258,371003.3915,371003.3915,0.000e+00
0.115340,0.878049,0.265628,369842.3203,369842.3203,0.000e+00
0.116920,0.902105,0.267893,368732.2529,368732.2529,0.000e+00
0.118500,0.923639,0.270065,367667.9757,367667.9757,0.000e+00
0.120080,0.942916,0.272153,366644.7926,366644.7926,0.000e+00
0.121660,0.960174,0.274166,365658.4766,365658.4766,0.000e+00
0.123240,0.975626,0.276112,364705.2271,364705.2271,0.000e+00
0.124820,0.989464,0.277997,363781.6288,363781.6288,0.000e+00
0.126400,0.000000,0.280545,362533.0835,362533.0835,0.000e+00
0.127980,0.066251,0.286662,359535.6120,359535.6120,0.000e+00
0.129560,0.183584,0.292342,356752.6241,356752.6241,0.000e+00
0.131140,0.288445,0.297565,354193.0851,354193.0851,0.000e+00
0.132720,0.382073,0.302376,351835.5485,351835.5485,0.000e+00
0.134300,0.465598,0.306816,349660.2678,349660.2678,0.000e+00
0.135880,0.540054,0.310920,347649.1311,347649.1311,0.000e+00
0.137460,0.606379,0.314723,345785.5831,345785.5831,0.000e+00
0.139040,0.665422,0.318256,344054.5393,344054.5393,0.000e+00
0.140620,0.717955,0.321546,342442.2947,342442.2947,0.000e+00
0.142200,0.764672,0.324620,340936.4299,340936.4299,0.000e+00
0.143780,0.806200,0.327499,339525.7176,339525.7176,0.000e+00
0.145360,0.843102,0.330204,338200.0294,338200.0294,0.000e+00
0.146940,0.875883,0.332755,336950.2463,336950.2463,0.000e+00
0.148520,0.904998,0.335167,335768.1728,335768.1728,0.000e+00
0.150100,0.930851,0.337456,334646.4545,334646.4545,0.000e+00
0.151680,0.953806,0.339636,333578.5019,333578.5019,0.000e+00
0.153260,0.974187,0.341718,332558.4183,332558.4183,0.000e+00
0.154840,0.992284,0.343712,331580.9335,331580.9335,0.000e+00
0.156420,0.000000,0.348246,329359.3605,329359.3605,0.000e+00
0.158000,0.122928,0.354725,326184.5799,326184.5799,0.000e+00
0.159580,0.245107,0.360632,323290.2874,323290.2874,0.000e+00
0.161160,0.353438,0.366020,320650.0399,320650.0399,0.000e+00
0.162740,0.449376,0.370943,318238.0249,318238.0249,0.000e+00
0.164320,0.534245,0.375448,316030.5464,316030.5464,0.000e+00
0.165900,0.609250,0.379580,314005.9549,314005.9549,0.000e+00
0.167480,0.675478,0.383378,312144.5570,312144.5570,0.000e+00
0.169060,0.733910,0.386881,310428.5088,310428.5088,0.000e+00
0.170640,0.785428,0.390119,308841.6994,308841.6994,0.000e+00
0.172220,0.830824,0.393123,307369.6294,307369.6294,0.000e+00
0.173800,0.870804,0.395920,305999.2867,305999.2867,0.000e+00
0.175380,0.906000,0.398533,304719.0249,304719.0249,0.000e+00
0.176960,0.936973,0.400983,303518.4435,303518.4435,0.000e+00
0.178540,0.964223,0.403289,302388.2745,302388.2745,0.000e+00
0.180120,0.988193,0.405469,301320.2745,301320.2745,0.000e+00
0.181700,0.000000,0.410017,299091.8769,299091.8769,0.000e+00
0.183280,0.124226,0.417132,295605.5103,295605.5103,0.000e+00
0.184860,0.258717,0.423565,292453.0156,292453.0156,0.000e+00
0.186440,0.376952,0.429377,289605.2299,289605.2299,0.000e+00
0.188020,0.480728,0.434633,287029.6180,287029.6180,0.000e+00
0.189600,0.571681,0.439395,284696.3233,284696.3233,0.000e+00
0.191180,0.651288,0.443718,282578.1228,282578.1228,0.000e+00
0.192760,0.720885,0.447652,280650.3366,280650.3366,0.000e+00
0.194340,0.781666,0.451243,278890.7068,278890.7068,0.000e+00
0.195920,0.834701,0.454532,277279.2519,277279.2519,0.000e+00
0.197500,0.880939,0.457555,275798.1086,275798.1086,0.000e+00
0.199080,0.921225,0.460344,274431.3661,274431.3661,0.000e+00
0.200660,0.956305,0.462929,273164.8992,273164.8992,0.000e+00
0.202240,0.986840,0.465334,271986.2050,271986.2050,0.000e+00
0.203820,0.000000,0.470713,269350.3989,269350.3989,0.000e+00
0.205400,0.147328,0.478505,265532.6472,265532.6472,0.000e+00
0.206980,0.293501,0.485469,262120.0607,262120.0607,0.000e+00
0.208560,0.420693,0.491691,259071.2051,259071.2051,0.000e+00
0.210140,0.531127,0.497255,256344.9855,256344.9855,0.000e+00
0.211720,0.626821,0.502237,253903.7060,253903.7060,0.000e+00
0.213300,0.709596,0.506708,251713.0837,251713.0837,0.000e+00
0.214880,0.781085,0.510730,249742.1785,249742.1785,0.000e+00
0.216460,0.842741,0.514361,247963.2568,247963.2568,0.000e+00
0.218040,0.895855,0.517650,246351.6093,246351.6093,0.000e+00
0.219620,0.941562,0.520642,244885.3391,244885.3391,0.000e+00
0.221200,0.980862,0.523377,243545.1326,243545.1326,0.000e+00
0.222780,0.000000,0.528892,240842.8503,240842.8503,0.000e+00
0.224360,0.151052,0.537637,236557.8443,236557.8443,0.000e+00
0.225940,0.314188,0.545372,232767.5107,232767.5107,0.000e+00
0.227520,0.454440,0.552193,229425.2394,229425.2394,0.000e+00
0.229100,0.574645,0.558209,226477.5324,226477.5324,0.000e+00
0.230680,0.677386,0.563520,223875.1935,223875.1935,0.000e+00
0.232260,0.764982,0.568217,221573.5237,221573.5237,0.000e+00
0.233840,0.839504,0.572383,219532.3403,219532.3403,0.000e+00
0.235420,0.902786,0.576090,217715.8576,217715.8576,0.000e+00
0.237000,0.956434,0.579403,216092.4668,216092.4668,0.000e+00
0.238580,0.000000,0.582752,214451.5739,214451.5739,0.000e+00
0.240160,0.088043,0.592944,209457.5710,209457.5710,0.000e+00
0.241740,0.282407,0.602073,204984.2932,204984.2932,0.000e+00
0.243320,0.447294,0.610001,201099.6152,201099.6152,0.000e+00
0.244900,0.586521,0.616876,197730.5920,197730.5920,0.000e+00
0.246480,0.703589,0.622838,194809.3112,194809.3112,0.000e+00
0.248060,0.801661,0.628013,192273.6960,192273.6960,0.000e+00
0.249640,0.883553,0.632514,190067.9074,190067.9074,0.000e+00
0.251220,0.951741,0.636444,188142.4155,188142.4155,0.000e+00
0.252800,0.000000,0.641293,185766.3657,185766.3657,0.000e+00
