V_in_V,I_sim_A,I_ideal_A,error_A
-0.1,-2e-05,-2e-05,0.0
-0.09000000000000001,-1.8000000000000004e-05,-1.8000000000000004e-05,0.0
-0.08,-1.6000000000000003e-05,-1.6000000000000003e-05,0.0
-0.07,-1.4000000000000001e-05,-1.4000000000000001e-05,0.0
-0.060000000000000005,-1.2000000000000002e-05,-1.2000000000000002e-05,0.0
-0.05,-1e-05,-1e-05,0.0
-0.04000000000000001,-8.000000000000001e-06,-8.000000000000001e-06,0.0
-0.03,-6e-06,-6e-06,0.0
-0.020000000000000004,-4.000000000000001e-06,-4.000000000000001e-06,0.0
-0.010000000000000009,-2.000000000000002e-06,-2.000000000000002e-06,0.0
0.0,0.0,0.0,0.0
0.009999999999999995,1.999999999999999e-06,1.999999999999999e-06,0.0
0.01999999999999999,3.999999999999998e-06,3.999999999999998e-06,0.0
0.03,6e-06,6e-06,0.0
0.04000000000000001,8.000000000000001e-06,8.000000000000001e-06,0.0
0.04999999999999999,9.999999999999997e-06,9.999999999999997e-06,0.0
0.06,1.2e-05,1.2e-05,0.0
0.07,1.4000000000000001e-05,1.4000000000000001e-05,0.0
0.07999999999999999,1.6e-05,1.6e-05,0.0
0.09,1.8e-05,1.8e-05,0.0
0.1,2e-05,2e-05,0.0
