pulso,conductancia_S,tipo
0,6.939625260235948e-05,LTP
1,6.944943131952474e-05,LTP
2,6.950273244642145e-05,LTP
3,6.955615645331497e-05,LTP
4,6.96097038130035e-05,LTP
5,6.966337500083576e-05,LTP
6,6.971717049472866e-05,LTP
7,6.97710907751851e-05,LTP
8,6.982513632531209e-05,LTP
9,6.987930763083888e-05,LTP
10,6.993360518013524e-05,LTP
11,6.998802946423001e-05,LTP
12,7.004258097682976e-05,LTP
13,7.009726021433747e-05,LTP
14,7.015206767587161e-05,LTP
15,7.020700386328528e-05,LTP
16,7.026206928118535e-05,LTP
17,7.031726443695207e-05,LTP
18,7.037258984075868e-05,LTP
19,7.042804600559113e-05,LTP
20,7.048363344726806e-05,LTP
21,7.053935268446105e-05,LTP
22,7.059520423871478e-05,LTP
23,7.065118863446766e-05,LTP
24,7.07073063990724e-05,LTP
25,7.076355806281695e-05,LTP
26,7.081994415894546e-05,LTP
27,7.087646522367953e-05,LTP
28,7.093312179623969e-05,LTP
29,7.098991441886685e-05,LTP
30,7.104684363684418e-05,LTP
31,7.110390999851912e-05,LTP
32,7.116111405532548e-05,LTP
33,7.121845636180582e-05,LTP
34,7.127593747563401e-05,LTP
35,7.133355795763812e-05,LTP
36,7.139131837182318e-05,LTP
37,7.144921928539453e-05,LTP
38,7.150726126878115e-05,LTP
39,7.156544489565918e-05,LTP
40,7.162377074297587e-05,LTP
0,6.939625260235948e-05,LTD
1,6.934315526274127e-05,LTD
2,6.929017964741646e-05,LTD
3,6.923732529194091e-05,LTD
4,6.918459173434786e-05,LTD
5,6.913197851513105e-05,LTD
6,6.907948517722786e-05,LTD
7,6.902711126600264e-05,LTD
8,6.897485632923015e-05,LTD
9,6.892271991707915e-05,LTD
10,6.887070158209613e-05,LTD
11,6.881880087918925e-05,LTD
12,6.876701736561219e-05,LTD
13,6.871535060094839e-05,LTD
14,6.866380014709526e-05,LTD
15,6.861236556824865e-05,LTD
16,6.856104643088723e-05,LTD
17,6.850984230375728e-05,LTD
18,6.845875275785734e-05,LTD
19,6.840777736642321e-05,LTD
20,6.835691570491292e-05,LTD
21,6.830616735099186e-05,LTD
22,6.825553188451808e-05,LTD
23,6.820500888752762e-05,LTD
24,6.815459794422011e-05,LTD
25,6.810429864094431e-05,LTD
26,6.805411056618386e-05,LTD
27,6.800403331054312e-05,LTD
28,6.795406646673322e-05,LTD
29,6.790420962955802e-05,LTD
30,6.785446239590042e-05,LTD
31,6.780482436470855e-05,LTD
32,6.775529513698232e-05,LTD
33,6.770587431575981e-05,LTD
34,6.765656150610393e-05,LTD
35,6.760735631508928e-05,LTD
36,6.755825835178883e-05,LTD
37,6.7509267227261e-05,LTD
38,6.746038255453657e-05,LTD
39,6.741160394860602e-05,LTD
40,6.736293102640661e-05,LTD
