pulso,conductancia_S
0,6.939625260235948e-05
1,6.944943131952474e-05
2,6.950273244642145e-05
3,6.955615645331497e-05
4,6.96097038130035e-05
5,6.966337500083576e-05
6,6.971717049472866e-05
7,6.97710907751851e-05
8,6.982513632531209e-05
9,6.987930763083888e-05
10,6.993360518013524e-05
11,6.998802946423001e-05
12,7.004258097682976e-05
13,7.009726021433747e-05
14,7.015206767587161e-05
15,7.020700386328528e-05
16,7.026206928118535e-05
17,7.031726443695207e-05
18,7.037258984075868e-05
19,7.042804600559113e-05
20,7.048363344726806e-05
21,7.053935268446105e-05
22,7.059520423871478e-05
23,7.065118863446766e-05
24,7.07073063990724e-05
25,7.076355806281695e-05
26,7.081994415894546e-05
27,7.087646522367953e-05
28,7.093312179623969e-05
29,7.098991441886685e-05
30,7.104684363684418e-05
31,7.110390999851912e-05
32,7.116111405532548e-05
33,7.121845636180582e-05
34,7.127593747563401e-05
35,7.133355795763812e-05
36,7.139131837182318e-05
37,7.144921928539453e-05
38,7.150726126878115e-05
39,7.156544489565918e-05
40,7.162377074297587e-05
41,7.168223939097347e-05
42,7.17408514232135e-05
43,7.179960742660116e-05
44,7.185850799141017e-05
45,7.191755371130743e-05
46,7.197674518337833e-05
47,7.203608300815195e-05
48,7.209556778962674e-05
49,7.215520013529628e-05
50,7.221498065617537e-05
51,7.215515064822042e-05
52,7.209546914242525e-05
53,7.203593552538261e-05
54,7.197654918722708e-05
55,7.191730952160883e-05
56,7.185821592566758e-05
57,7.179926780000681e-05
58,7.174046454866829e-05
59,7.168180557910662e-05
60,7.162329030216425e-05
61,7.156491813204665e-05
62,7.150668848629749e-05
63,7.144860078577444e-05
64,7.139065445462476e-05
65,7.13328489202615e-05
66,7.127518361333956e-05
67,7.121765796773225e-05
68,7.116027142050784e-05
69,7.110302341190651e-05
70,7.10459133853173e-05
71,7.098894078725546e-05
72,7.093210506733986e-05
73,7.087540567827065e-05
74,7.081884207580717e-05
75,7.076241371874585e-05
76,7.070612006889867e-05
77,7.064996059107143e-05
78,7.059393475304239e-05
79,7.053804202554111e-05
80,7.048228188222747e-05
81,7.042665379967077e-05
82,7.037115725732907e-05
83,7.031579173752887e-05
84,7.026055672544464e-05
85,7.02054517090788e-05
86,7.015047617924176e-05
87,7.009562962953213e-05
88,7.004091155631718e-05
89,6.99863214587133e-05
90,6.993185883856688e-05
91,6.987752320043504e-05
92,6.982331405156681e-05
93,6.976923090188435e-05
94,6.971527326396429e-05
95,6.966144065301924e-05
96,6.960773258687957e-05
97,6.955414858597523e-05
98,6.950068817331775e-05
99,6.944735087448237e-05
100,6.93941362175904e-05
