t_s,V_signal_V,I_out_A,x_state
0.000000,0.000000,0.000000e+00,0.050000
0.000050,0.003142,3.306194e-09,0.050000
0.000100,0.006283,6.612381e-09,0.050000
0.000150,0.009425,9.918551e-09,0.050000
0.000200,0.012567,1.322470e-08,0.050000
0.000250,0.015708,1.653081e-08,0.050000
0.000300,0.018850,1.983688e-08,0.050000
0.000350,0.021991,2.314290e-08,0.050000
0.000400,0.025133,2.644887e-08,0.050000
0.000450,0.028274,2.975477e-08,0.050000
0.000500,0.031415,3.306060e-08,0.050000
0.000550,0.034557,3.636634e-08,0.050000
0.000600,0.037698,3.967200e-08,0.050000
0.000650,0.040839,4.297756e-08,0.050000
0.000700,0.043980,4.628301e-08,0.050000
0.000750,0.047121,4.958835e-08,0.050000
0.000800,0.050261,5.289356e-08,0.050000
0.000850,0.053402,5.619865e-08,0.050000
0.000900,0.056543,5.950359e-08,0.050000
0.000950,0.059683,6.280839e-08,0.050000
0.001000,0.062823,6.611304e-08,0.050000
0.001050,0.065963,6.941752e-08,0.050000
0.001100,0.069103,7.272183e-08,0.050000
0.001150,0.072243,7.602596e-08,0.050000
0.001200,0.075382,7.932990e-08,0.050000
0.001250,0.078522,8.263365e-08,0.050000
0.001300,0.081661,8.593719e-08,0.050000
0.001350,0.084800,8.924053e-08,0.050000
0.001400,0.087938,9.254364e-08,0.050000
0.001450,0.091077,9.584652e-08,0.050000
0.001500,0.094215,9.914917e-08,0.050000
0.001550,0.097353,1.024516e-07,0.050000
0.001600,0.100491,1.057537e-07,0.050000
0.001650,0.103629,1.090556e-07,0.050000
0.001700,0.106766,1.123572e-07,0.050000
0.001750,0.109903,1.156586e-07,0.050000
0.001800,0.113040,1.189596e-07,0.050000
0.001850,0.116176,1.222604e-07,0.050000
0.001900,0.119313,1.255608e-07,0.050000
0.001950,0.122449,1.288610e-07,0.050000
0.002000,0.125584,1.321608e-07,0.050000
0.002050,0.128719,1.354603e-07,0.050000
0.002100,0.131854,1.387595e-07,0.050000
0.002150,0.134989,1.420583e-07,0.050000
0.002200,0.138123,1.453568e-07,0.050000
0.002250,0.141257,1.486549e-07,0.050000
0.002300,0.144391,1.519527e-07,0.050000
0.002350,0.147524,1.552501e-07,0.050000
0.002400,0.150657,1.585471e-07,0.050000
0.002450,0.153790,1.618437e-07,0.050000
0.002500,0.156922,1.651399e-07,0.050000
0.002550,0.160054,1.684357e-07,0.050000
0.002600,0.163185,1.717311e-07,0.050000
0.002650,0.166316,1.750260e-07,0.050000
0.002700,0.169447,1.783205e-07,0.050000
0.002750,0.172577,1.816146e-07,0.050000
0.002800,0.175707,1.849083e-07,0.050000
0.002850,0.178836,1.882015e-07,0.050000
0.002900,0.181965,1.914942e-07,0.050000
0.002950,0.185093,1.947864e-07,0.050000
0.003000,0.188221,1.980782e-07,0.050000
0.003050,0.191349,2.013695e-07,0.050000
0.003100,0.194476,2.046602e-07,0.050000
0.003150,0.197602,2.079505e-07,0.050000
0.003200,0.200728,2.112403e-07,0.050000
0.003250,0.203854,2.145295e-07,0.050000
0.003300,0.206979,2.178182e-07,0.050000
0.003350,0.210104,2.211064e-07,0.050000
0.003400,0.213228,2.243940e-07,0.050000
0.003450,0.216351,2.276811e-07,0.050000
0.003500,0.219474,2.309676e-07,0.050000
0.003550,0.222597,2.342536e-07,0.050000
0.003600,0.225718,2.375389e-07,0.050000
0.003650,0.228840,2.408237e-07,0.050000
0.003700,0.231960,2.441079e-07,0.050000
0.003750,0.235081,2.473915e-07,0.050000
0.003800,0.238200,2.506744e-07,0.050000
0.003850,0.241319,2.539568e-07,0.050000
0.003900,0.244438,2.572385e-07,0.050000
0.003950,0.247555,2.605196e-07,0.050000
0.004000,0.250673,2.638001e-07,0.050000
0.004050,0.253789,2.670798e-07,0.050000
0.004100,0.256905,2.703590e-07,0.050000
0.004150,0.260021,2.736375e-07,0.050000
0.004200,0.263135,2.769153e-07,0.050000
0.004250,0.266249,2.801924e-07,0.050000
0.004300,0.269363,2.834688e-07,0.050000
0.004350,0.272475,2.867445e-07,0.050000
0.004400,0.275587,2.900195e-07,0.050000
0.004450,0.278699,2.932938e-07,0.050000
0.004500,0.281809,2.965674e-07,0.050000
0.004550,0.284919,2.998402e-07,0.050000
0.004600,0.288029,3.031123e-07,0.050000
0.004650,0.291137,3.063837e-07,0.050000
0.004700,0.294245,3.096543e-07,0.050000
0.004750,0.297352,3.129241e-07,0.050000
0.004800,0.300459,3.161932e-07,0.050000
0.004850,0.303564,3.194615e-07,0.050000
0.004900,0.306669,3.227290e-07,0.050000
0.004950,0.309773,3.259957e-07,0.050000
0.005000,0.312877,3.292616e-07,0.050000
0.005050,0.315979,3.325266e-07,0.050000
0.005100,0.319081,3.357909e-07,0.050000
0.005150,0.322182,3.390543e-07,0.050000
0.005200,0.325282,3.423169e-07,0.050000
0.005250,0.328382,3.455787e-07,0.050000
0.005300,0.331480,3.488396e-07,0.050000
0.005350,0.334578,3.520996e-07,0.050000
0.005400,0.337675,3.553588e-07,0.050000
0.005450,0.340771,3.586171e-07,0.050000
0.005500,0.343867,3.618745e-07,0.050000
0.005550,0.346961,3.651310e-07,0.050000
0.005600,0.350055,3.683866e-07,0.050000
0.005650,0.353148,3.716413e-07,0.050000
0.005700,0.356239,3.748951e-07,0.050000
0.005750,0.359330,3.781480e-07,0.050000
0.005800,0.362420,3.813999e-07,0.050000
0.005850,0.365510,3.846509e-07,0.050000
0.005900,0.368598,3.879009e-07,0.050000
0.005950,0.371685,3.911500e-07,0.050000
0.006000,0.374772,3.943981e-07,0.050000
0.006050,0.377857,3.976453e-07,0.050000
0.006100,0.380942,4.008914e-07,0.050000
0.006150,0.384026,4.041366e-07,0.050000
0.006200,0.387108,4.073808e-07,0.050000
0.006250,0.390190,4.106239e-07,0.050000
0.006300,0.393271,4.138661e-07,0.050000
0.006350,0.396351,4.171072e-07,0.050000
0.006400,0.399430,4.203473e-07,0.050000
0.006450,0.402508,4.235864e-07,0.050000
0.006500,0.405585,4.268244e-07,0.050000
0.006550,0.408660,4.300614e-07,0.050000
0.006600,0.411735,4.332973e-07,0.050000
0.006650,0.414809,4.365322e-07,0.050000
0.006700,0.417882,4.397659e-07,0.050000
0.006750,0.420954,4.429986e-07,0.050000
0.006800,0.424025,4.462302e-07,0.050000
0.006850,0.427094,4.494607e-07,0.050000
0.006900,0.430163,4.526900e-07,0.050000
0.006950,0.433231,4.559183e-07,0.050000
0.007000,0.436297,4.591454e-07,0.050000
0.007050,0.439363,4.623714e-07,0.050000
0.007100,0.442427,4.655963e-07,0.050000
0.007150,0.445490,4.688200e-07,0.050000
0.007200,0.448553,4.720426e-07,0.050000
0.007250,0.451614,4.752640e-07,0.050000
0.007300,0.454674,4.784842e-07,0.050000
0.007350,0.457732,4.817032e-07,0.050000
0.007400,0.460790,4.849210e-07,0.050000
0.007450,0.463847,4.881377e-07,0.050000
0.007500,0.466902,4.913531e-07,0.050000
0.007550,0.469956,4.945674e-07,0.050000
0.007600,0.473010,4.977804e-07,0.050000
0.007650,0.476062,5.009922e-07,0.050000
0.007700,0.479112,5.042027e-07,0.050000
0.007750,0.482162,5.074120e-07,0.050000
0.007800,0.485210,5.106201e-07,0.050000
0.007850,0.488258,5.138269e-07,0.050000
0.007900,0.491304,5.170324e-07,0.050000
0.007950,0.494348,5.202366e-07,0.050000
0.008000,0.497392,5.234396e-07,0.050000
0.008050,0.500434,5.266413e-07,0.050000
0.008100,0.503475,5.298417e-07,0.050000
0.008150,0.506515,5.330407e-07,0.050000
0.008200,0.509554,5.362385e-07,0.050000
0.008250,0.512591,5.394349e-07,0.050000
0.008300,0.515627,5.426300e-07,0.050000
0.008350,0.518662,5.458238e-07,0.050000
0.008400,0.521696,5.490162e-07,0.050000
0.008450,0.524728,5.522072e-07,0.050000
0.008500,0.527759,5.553969e-07,0.050000
0.008550,0.530789,5.585852e-07,0.050000
0.008600,0.533817,5.617722e-07,0.050000
0.008650,0.536844,5.649577e-07,0.050000
0.008700,0.539870,5.681419e-07,0.050000
0.008750,0.542894,5.713247e-07,0.050000
0.008800,0.545917,5.745060e-07,0.050000
0.008850,0.548939,5.776860e-07,0.050000
0.008900,0.551959,5.808645e-07,0.050000
0.008950,0.554978,5.840415e-07,0.050000
0.009000,0.557996,5.872172e-07,0.050000
0.009050,0.561012,5.903914e-07,0.050000
0.009100,0.564027,5.935641e-07,0.050000
0.009150,0.567040,5.967354e-07,0.050000
0.009200,0.570052,5.999052e-07,0.050000
0.009250,0.573063,6.030735e-07,0.050000
0.009300,0.576072,6.062403e-07,0.050000
0.009350,0.579080,6.094056e-07,0.050000
0.009400,0.582086,6.125694e-07,0.050000
0.009450,0.585091,6.157318e-07,0.050000
0.009500,0.588095,6.188926e-07,0.050000
0.009550,0.591097,6.220518e-07,0.050000
