t_s,V_in_V,I_sim_A,x_sim,R_sim_ohm,G_sim_S,P_sim_W
0.000000,0.000000,0.000000e+00,0.100000,14410.00,6.939625e-05,0.000000e+00
0.002000,0.006283,4.360359e-07,0.100005,14409.93,6.939660e-05,2.739722e-09
0.004000,0.012566,8.720670e-07,0.100018,14409.72,6.939762e-05,1.095861e-08
0.006000,0.018849,1.308089e-06,0.100040,14409.37,6.939931e-05,2.465584e-08
0.008000,0.025131,1.744096e-06,0.100071,14408.88,6.940166e-05,4.383003e-08
0.010000,0.031411,2.180085e-06,0.100110,14408.25,6.940468e-05,6.847926e-08
0.012000,0.037691,2.616050e-06,0.100158,14407.48,6.940837e-05,9.860106e-08
0.014000,0.043969,3.051988e-06,0.100215,14406.58,6.941273e-05,1.341924e-07
0.016000,0.050245,3.487893e-06,0.100281,14405.54,6.941776e-05,1.752497e-07
0.018000,0.056519,3.923760e-06,0.100355,14404.35,6.942346e-05,2.217689e-07
0.020000,0.062792,4.359586e-06,0.100438,14403.03,6.942982e-05,2.737452e-07
0.022000,0.069061,4.795365e-06,0.100530,14401.57,6.943686e-05,3.311736e-07
0.024000,0.075328,5.231094e-06,0.100630,14399.98,6.944456e-05,3.940481e-07
0.026000,0.081592,5.666766e-06,0.100740,14398.24,6.945293e-05,4.623626e-07
0.028000,0.087853,6.102378e-06,0.100858,14396.37,6.946198e-05,5.361101e-07
0.030001,0.094110,6.537925e-06,0.100984,14394.35,6.947169e-05,6.152833e-07
0.032001,0.100363,6.973403e-06,0.101119,14392.20,6.948208e-05,6.998743e-07
0.034001,0.106613,7.408806e-06,0.101264,14389.91,6.949314e-05,7.898745e-07
0.036001,0.112858,7.844130e-06,0.101416,14387.48,6.950487e-05,8.852749e-07
0.038001,0.119099,8.279371e-06,0.101578,14384.91,6.951727e-05,9.860660e-07
0.040001,0.125335,8.714524e-06,0.101748,14382.21,6.953035e-05,1.092238e-06
0.042001,0.131567,9.149584e-06,0.101927,14379.36,6.954410e-05,1.203779e-06
0.044001,0.137793,9.584547e-06,0.102114,14376.38,6.955853e-05,1.320679e-06
0.046001,0.144013,1.001941e-05,0.102311,14373.26,6.957363e-05,1.442927e-06
0.048001,0.150228,1.045416e-05,0.102516,14370.00,6.958941e-05,1.570509e-06
0.050001,0.156437,1.088880e-05,0.102729,14366.61,6.960586e-05,1.703412e-06
0.052001,0.162640,1.132333e-05,0.102951,14363.07,6.962299e-05,1.841625e-06
0.054001,0.168836,1.175774e-05,0.103183,14359.40,6.964080e-05,1.985132e-06
0.056001,0.175026,1.219202e-05,0.103422,14355.59,6.965929e-05,2.133920e-06
0.058001,0.181209,1.262617e-05,0.103671,14351.64,6.967846e-05,2.287973e-06
0.060001,0.187384,1.306019e-05,0.103928,14347.55,6.969831e-05,2.447275e-06
0.062001,0.193553,1.349407e-05,0.104193,14343.32,6.971885e-05,2.611812e-06
0.064001,0.199713,1.392780e-05,0.104468,14338.96,6.974006e-05,2.781567e-06
0.066001,0.205866,1.436139e-05,0.104751,14334.46,6.976196e-05,2.956521e-06
0.068001,0.212011,1.479482e-05,0.105043,14329.82,6.978455e-05,3.136659e-06
0.070001,0.218147,1.522810e-05,0.105343,14325.04,6.980782e-05,3.321961e-06
0.072001,0.224274,1.566121e-05,0.105652,14320.13,6.983178e-05,3.512409e-06
0.074001,0.230393,1.609416e-05,0.105970,14315.07,6.985643e-05,3.707985e-06
0.076001,0.236503,1.652693e-05,0.106297,14309.88,6.988176e-05,3.908667e-06
0.078001,0.242603,1.695953e-05,0.106632,14304.56,6.990779e-05,4.114437e-06
0.080001,0.248694,1.739195e-05,0.106975,14299.09,6.993451e-05,4.325273e-06
0.082001,0.254775,1.782419e-05,0.107328,14293.49,6.996193e-05,4.541155e-06
0.084001,0.260846,1.825623e-05,0.107689,14287.75,6.999003e-05,4.762061e-06
0.086001,0.266906,1.868808e-05,0.108058,14281.87,7.001884e-05,4.987967e-06
0.088001,0.272956,1.911973e-05,0.108437,14275.86,7.004834e-05,5.218853e-06
0.090002,0.278996,1.955118e-05,0.108824,14269.70,7.007854e-05,5.454694e-06
0.092002,0.285024,1.998242e-05,0.109219,14263.41,7.010944e-05,5.695467e-06
0.094002,0.291041,2.041345e-05,0.109623,14256.99,7.014104e-05,5.941147e-06
0.096002,0.297046,2.084425e-05,0.110036,14250.42,7.017335e-05,6.191710e-06
0.098002,0.303040,2.127484e-05,0.110458,14243.72,7.020636e-05,6.447131e-06
0.100002,0.309022,2.170520e-05,0.110888,14236.89,7.024007e-05,6.707384e-06
0.102002,0.314992,2.213533e-05,0.111326,14229.91,7.027450e-05,6.972442e-06
0.104002,0.320949,2.256522e-05,0.111773,14222.80,7.030963e-05,7.242280e-06
0.106002,0.326893,2.299487e-05,0.112229,14215.55,7.034548e-05,7.516869e-06
0.108002,0.332825,2.342428e-05,0.112694,14208.17,7.038204e-05,7.796183e-06
0.110002,0.338743,2.385344e-05,0.113167,14200.65,7.041931e-05,8.080192e-06
0.112002,0.344648,2.428234e-05,0.113648,14192.99,7.045730e-05,8.368869e-06
0.114002,0.350540,2.471098e-05,0.114138,14185.20,7.049601e-05,8.662185e-06
0.116002,0.356418,2.513936e-05,0.114637,14177.27,7.053544e-05,8.960109e-06
0.118002,0.362281,2.556747e-05,0.115144,14169.20,7.057559e-05,9.262612e-06
0.120002,0.368130,2.599531e-05,0.115660,14161.00,7.061647e-05,9.569664e-06
0.122002,0.373965,2.642287e-05,0.116185,14152.66,7.065807e-05,9.881232e-06
0.124002,0.379785,2.685015e-05,0.116718,14144.19,7.070040e-05,1.019729e-05
0.126002,0.385590,2.727714e-05,0.117259,14135.58,7.074346e-05,1.051780e-05
0.128002,0.391380,2.770384e-05,0.117809,14126.84,7.078726e-05,1.084273e-05
0.130002,0.397154,2.813025e-05,0.118368,14117.95,7.083179e-05,1.117204e-05
0.132002,0.402913,2.855635e-05,0.118935,14108.94,7.087705e-05,1.150572e-05
