t_s,V_V,I_A,x_adim,R_ohm,G_S
0.000000,-1.000000,-6.939625e-05,0.100000,14410.00,6.939625e-05
0.003000,-0.994000,-6.882241e-05,0.097926,14442.97,6.923784e-05
0.006000,-0.988000,-6.825247e-05,0.095870,14475.67,6.908145e-05
0.009000,-0.982000,-6.768636e-05,0.093831,14508.09,6.892705e-05
0.012000,-0.976000,-6.712402e-05,0.091808,14540.25,6.877461e-05
0.015000,-0.970000,-6.656539e-05,0.089803,14572.14,6.862411e-05
0.018000,-0.964000,-6.601039e-05,0.087814,14603.76,6.847551e-05
0.021000,-0.958000,-6.545897e-05,0.085841,14635.12,6.832878e-05
0.024000,-0.952000,-6.491107e-05,0.083886,14666.22,6.818390e-05
0.027000,-0.946000,-6.436663e-05,0.081946,14697.06,6.804084e-05
0.030000,-0.940000,-6.382560e-05,0.080023,14727.63,6.789957e-05
0.033000,-0.934000,-6.328790e-05,0.078116,14757.95,6.776007e-05
0.036000,-0.928000,-6.275350e-05,0.076225,14788.02,6.762231e-05
0.039000,-0.922000,-6.222234e-05,0.074350,14817.83,6.748626e-05
0.042000,-0.916000,-6.169435e-05,0.072491,14847.39,6.735191e-05
0.045000,-0.910000,-6.116950e-05,0.070648,14876.70,6.721923e-05
0.048000,-0.904000,-6.064773e-05,0.068821,14905.75,6.708819e-05
0.051000,-0.898000,-6.012898e-05,0.067009,14934.56,6.695878e-05
0.054000,-0.892000,-5.961322e-05,0.065212,14963.12,6.683096e-05
0.057000,-0.886000,-5.910039e-05,0.063431,14991.44,6.670473e-05
0.060000,-0.880000,-5.859044e-05,0.061666,15019.51,6.658005e-05
0.063000,-0.874000,-5.808333e-05,0.059915,15047.35,6.645690e-05
0.066000,-0.868000,-5.757902e-05,0.058180,15074.93,6.633528e-05
0.069000,-0.862000,-5.707746e-05,0.056460,15102.28,6.621515e-05
0.072000,-0.856000,-5.657860e-05,0.054755,15129.40,6.609650e-05
0.075000,-0.850000,-5.608241e-05,0.053065,15156.27,6.597930e-05
0.078000,-0.844000,-5.558883e-05,0.051390,15182.91,6.586354e-05
0.081000,-0.838000,-5.509784e-05,0.049729,15209.31,6.574921e-05
0.084000,-0.832000,-5.460938e-05,0.048083,15235.48,6.563628e-05
0.087000,-0.826000,-5.412342e-05,0.046452,15261.41,6.552473e-05
0.090000,-0.820000,-5.363993e-05,0.044835,15287.12,6.541455e-05
0.093000,-0.814000,-5.315885e-05,0.043233,15312.59,6.530572e-05
0.096000,-0.808000,-5.268017e-05,0.041645,15337.84,6.519822e-05
0.099000,-0.802000,-5.220382e-05,0.040072,15362.86,6.509205e-05
0.102000,-0.796000,-5.172979e-05,0.038512,15387.65,6.498718e-05
0.105000,-0.790000,-5.125804e-05,0.036967,15412.22,6.488359e-05
0.108000,-0.784000,-5.078852e-05,0.035437,15436.56,6.478128e-05
0.111000,-0.778000,-5.032121e-05,0.033920,15460.68,6.468022e-05
0.114000,-0.772000,-4.985607e-05,0.032417,15484.57,6.458040e-05
0.117000,-0.766000,-4.939307e-05,0.030928,15508.25,6.448182e-05
0.120000,-0.760000,-4.893218e-05,0.029453,15531.70,6.438444e-05
0.123000,-0.754000,-4.847336e-05,0.027991,15554.94,6.428827e-05
0.126000,-0.748000,-4.801658e-05,0.026544,15577.95,6.419328e-05
0.129000,-0.742000,-4.756181e-05,0.025110,15600.75,6.409947e-05
0.132000,-0.736000,-4.710902e-05,0.023690,15623.33,6.400682e-05
0.135000,-0.730000,-4.665818e-05,0.022283,15645.70,6.391532e-05
0.138000,-0.724000,-4.620926e-05,0.020890,15667.85,6.382495e-05
0.141000,-0.718000,-4.576224e-05,0.019510,15689.79,6.373570e-05
0.144000,-0.712000,-4.531707e-05,0.018143,15711.52,6.364757e-05
0.147000,-0.706000,-4.487374e-05,0.016790,15733.03,6.356054e-05
0.150000,-0.700000,-4.443221e-05,0.015451,15754.34,6.347459e-05
0.153000,-0.694000,-4.399247e-05,0.014124,15775.43,6.338972e-05
0.156000,-0.688000,-4.355447e-05,0.012811,15796.31,6.330592e-05
0.159000,-0.682000,-4.311820e-05,0.011510,15816.99,6.322317e-05
0.162000,-0.676000,-4.268363e-05,0.010223,15837.45,6.314146e-05
0.165000,-0.670000,-4.225073e-05,0.008949,15857.71,6.306079e-05
0.168000,-0.664000,-4.181948e-05,0.007688,15877.77,6.298114e-05
0.171000,-0.658000,-4.138985e-05,0.006439,15897.62,6.290251e-05
0.174000,-0.652000,-4.096182e-05,0.005204,15917.26,6.282488e-05
0.177000,-0.646000,-4.053536e-05,0.003981,15936.70,6.274824e-05
0.180000,-0.640000,-4.011046e-05,0.002771,15955.94,6.267259e-05
0.183000,-0.634000,-3.968708e-05,0.001574,15974.97,6.259791e-05
0.186000,-0.628000,-3.926520e-05,0.000389,15993.81,6.252420e-05
0.189000,-0.622000,-3.887500e-05,0.000000,16000.00,6.250000e-05
0.192000,-0.616000,-3.850000e-05,0.000000,16000.00,6.250000e-05
0.195000,-0.610000,-3.812500e-05,0.000000,16000.00,6.250000e-05
0.198000,-0.604000,-3.775000e-05,0.000000,16000.00,6.250000e-05
0.201000,-0.598000,-3.737500e-05,0.000000,16000.00,6.250000e-05
