voltage_V,current_mA
0.000000,0.000000
0.000314,0.000022
0.000628,0.000044
0.000942,0.000065
0.001257,0.000087
0.001571,0.000109
0.001885,0.000131
0.002199,0.000153
0.002513,0.000174
0.002827,0.000196
0.003142,0.000218
0.003456,0.000240
0.003770,0.000262
0.004084,0.000283
0.004398,0.000305
0.004712,0.000327
0.005027,0.000349
0.005341,0.000371
0.005655,0.000392
0.005969,0.000414
0.006283,0.000436
0.006597,0.000458
0.006911,0.000480
0.007226,0.000501
0.007540,0.000523
0.007854,0.000545
0.008168,0.000567
0.008482,0.000589
0.008796,0.000610
0.009110,0.000632
0.009425,0.000654
0.009739,0.000676
0.010053,0.000698
0.010367,0.000719
0.010681,0.000741
0.010995,0.000763
0.011309,0.000785
0.011624,0.000807
0.011938,0.000828
0.012252,0.000850
0.012566,0.000872
0.012880,0.000894
0.013194,0.000916
0.013508,0.000937
0.013823,0.000959
0.014137,0.000981
0.014451,0.001003
0.014765,0.001025
0.015079,0.001046
0.015393,0.001068
0.015707,0.001090
0.016021,0.001112
0.016336,0.001134
0.016650,0.001155
0.016964,0.001177
0.017278,0.001199
0.017592,0.001221
0.017906,0.001243
0.018220,0.001264
0.018534,0.001286
0.018848,0.001308
0.019163,0.001330
0.019477,0.001352
0.019791,0.001373
0.020105,0.001395
0.020419,0.001417
0.020733,0.001439
0.021047,0.001461
0.021361,0.001482
0.021675,0.001504
0.021989,0.001526
0.022303,0.001548
0.022618,0.001570
0.022932,0.001591
0.023246,0.001613
0.023560,0.001635
0.023874,0.001657
0.024188,0.001679
0.024502,0.001700
0.024816,0.001722
0.025130,0.001744
0.025444,0.001766
0.025758,0.001788
0.026072,0.001809
0.026386,0.001831
0.026700,0.001853
0.027014,0.001875
0.027328,0.001897
0.027642,0.001918
0.027957,0.001940
0.028271,0.001962
0.028585,0.001984
0.028899,0.002006
0.029213,0.002027
0.029527,0.002049
0.029841,0.002071
0.030155,0.002093
0.030469,0.002115
0.030783,0.002136
0.031097,0.002158
0.031411,0.002180
0.031725,0.002202
0.032039,0.002224
0.032353,0.002245
0.032667,0.002267
0.032981,0.002289
0.033295,0.002311
0.033609,0.002333
0.033923,0.002354
0.034237,0.002376
0.034551,0.002398
0.034865,0.002420
0.035179,0.002442
0.035493,0.002463
0.035807,0.002485
0.036120,0.002507
0.036434,0.002529
0.036748,0.002551
0.037062,0.002572
0.037376,0.002594
0.037690,0.002616
0.038004,0.002638
0.038318,0.002660
0.038632,0.002681
0.038946,0.002703
0.039260,0.002725
0.039574,0.002747
0.039888,0.002769
0.040202,0.002790
0.040515,0.002812
0.040829,0.002834
0.041143,0.002856
0.041457,0.002878
0.041771,0.002899
0.042085,0.002921
0.042399,0.002943
0.042713,0.002965
0.043027,0.002986
0.043340,0.003008
0.043654,0.003030
0.043968,0.003052
0.044282,0.003074
0.044596,0.003095
0.044910,0.003117
0.045224,0.003139
0.045537,0.003161
0.045851,0.003183
0.046165,0.003204
0.046479,0.003226
0.046793,0.003248
0.047106,0.003270
0.047420,0.003292
0.047734,0.003313
0.048048,0.003335
0.048362,0.003357
0.048675,0.003379
0.048989,0.003401
0.049303,0.003422
0.049617,0.003444
0.049931,0.003466
0.050244,0.003488
0.050558,0.003510
0.050872,0.003531
0.051186,0.003553
0.051499,0.003575
0.051813,0.003597
0.052127,0.003618
0.052441,0.003640
0.052754,0.003662
0.053068,0.003684
0.053382,0.003706
0.053695,0.003727
0.054009,0.003749
0.054323,0.003771
0.054636,0.003793
0.054950,0.003815
0.055264,0.003836
0.055578,0.003858
0.055891,0.003880
0.056205,0.003902
0.056519,0.003924
0.056832,0.003945
0.057146,0.003967
0.057459,0.003989
0.057773,0.004011
0.058087,0.004032
0.058400,0.004054
0.058714,0.004076
0.059028,0.004098
0.059341,0.004120
0.059655,0.004141
0.059968,0.004163
0.060282,0.004185
0.060596,0.004207
0.060909,0.004229
0.061223,0.004250
0.061536,0.004272
0.061850,0.004294
0.062163,0.004316
0.062477,0.004338
0.062791,0.004359
0.063104,0.004381
0.063418,0.004403
0.063731,0.004425
0.064045,0.004446
0.064358,0.004468
0.064672,0.004490
0.064985,0.004512
0.065299,0.004534
0.065612,0.004555
0.065926,0.004577
0.066239,0.004599
0.066553,0.004621
0.066866,0.004643
0.067179,0.004664
0.067493,0.004686
0.067806,0.004708
0.068120,0.004730
0.068433,0.004751
0.068747,0.004773
0.069060,0.004795
0.069373,0.004817
0.069687,0.004839
0.070000,0.004860
0.070314,0.004882
0.070627,0.004904
0.070940,0.004926
0.071254,0.004947
0.071567,0.004969
0.071880,0.004991
0.072194,0.005013
0.072507,0.005035
0.072820,0.005056
0.073134,0.005078
0.073447,0.005100
0.073760,0.005122
0.074074,0.005144
0.074387,0.005165
0.074700,0.005187
0.075014,0.005209
0.075327,0.005231
0.075640,0.005252
0.075953,0.005274
0.076267,0.005296
0.076580,0.005318
0.076893,0.005340
0.077206,0.005361
0.077519,0.005383
0.077833,0.005405
0.078146,0.005427
0.078459,0.005448
0.078772,0.005470
0.079085,0.005492
0.079399,0.005514
0.079712,0.005536
0.080025,0.005557
0.080338,0.005579
0.080651,0.005601
0.080964,0.005623
0.081277,0.005644
0.081591,0.005666
0.081904,0.005688
0.082217,0.005710
0.082530,0.005732
0.082843,0.005753
0.083156,0.005775
0.083469,0.005797
0.083782,0.005819
0.084095,0.005840
0.084408,0.005862
0.084721,0.005884
0.085034,0.005906
0.085347,0.005927
0.085660,0.005949
0.085973,0.005971
0.086286,0.005993
0.086599,0.006015
0.086912,0.006036
0.087225,0.006058
0.087538,0.006080
0.087851,0.006102
0.088164,0.006123
0.088477,0.006145
0.088790,0.006167
0.089103,0.006189
0.089416,0.006211
0.089729,0.006232
0.090042,0.006254
0.090354,0.006276
0.090667,0.006298
0.090980,0.006319
0.091293,0.006341
0.091606,0.006363
0.091919,0.006385
0.092232,0.006406
0.092544,0.006428
0.092857,0.006450
0.093170,0.006472
0.093483,0.006494
0.093796,0.006515
0.094108,0.006537
0.094421,0.006559
0.094734,0.006581
0.095047,0.006602
0.095359,0.006624
0.095672,0.006646
0.095985,0.006668
0.096297,0.006689
0.096610,0.006711
0.096923,0.006733
0.097235,0.006755
0.097548,0.006776
0.097861,0.006798
0.098173,0.006820
0.098486,0.006842
0.098799,0.006864
0.099111,0.006885
0.099424,0.006907
0.099737,0.006929
0.100049,0.006951
0.100362,0.006972
0.100674,0.006994
0.100987,0.007016
0.101299,0.007038
0.101612,0.007059
0.101924,0.007081
0.102237,0.007103
0.102549,0.007125
0.102862,0.007146
0.103174,0.007168
0.103487,0.007190
0.103799,0.007212
0.104112,0.007234
0.104424,0.007255
0.104737,0.007277
0.105049,0.007299
0.105362,0.007321
0.105674,0.007342
0.105986,0.007364
0.106299,0.007386
0.106611,0.007408
0.106924,0.007429
0.107236,0.007451
0.107548,0.007473
0.107861,0.007495
0.108173,0.007516
0.108485,0.007538
0.108797,0.007560
0.109110,0.007582
0.109422,0.007603
0.109734,0.007625
0.110047,0.007647
0.110359,0.007669
0.110671,0.007690
0.110983,0.007712
0.111295,0.007734
0.111608,0.007756
0.111920,0.007777
0.112232,0.007799
0.112544,0.007821
0.112856,0.007843
0.113169,0.007864
0.113481,0.007886
0.113793,0.007908
0.114105,0.007930
0.114417,0.007951
0.114729,0.007973
0.115041,0.007995
0.115353,0.008017
0.115665,0.008038
0.115977,0.008060
0.116289,0.008082
0.116601,0.008104
0.116913,0.008125
0.117225,0.008147
0.117537,0.008169
0.117849,0.008191
0.118161,0.008212
0.118473,0.008234
0.118785,0.008256
0.119097,0.008278
0.119409,0.008299
0.119721,0.008321
0.120033,0.008343
0.120345,0.008365
0.120657,0.008386
0.120968,0.008408
0.121280,0.008430
0.121592,0.008452
0.121904,0.008473
0.122216,0.008495
0.122528,0.008517
0.122839,0.008539
0.123151,0.008560
0.123463,0.008582
0.123775,0.008604
0.124086,0.008626
0.124398,0.008647
0.124710,0.008669
0.125022,0.008691
0.125333,0.008713
0.125645,0.008734
0.125957,0.008756
0.126268,0.008778
0.126580,0.008800
0.126891,0.008821
0.127203,0.008843
0.127515,0.008865
0.127826,0.008887
0.128138,0.008908
0.128449,0.008930
0.128761,0.008952
0.129073,0.008973
0.129384,0.008995
0.129696,0.009017
0.130007,0.009039
0.130319,0.009060
0.130630,0.009082
0.130941,0.009104
0.131253,0.009126
0.131564,0.009147
0.131876,0.009169
0.132187,0.009191
0.132499,0.009213
0.132810,0.009234
0.133121,0.009256
0.133433,0.009278
0.133744,0.009300
0.134055,0.009321
0.134367,0.009343
0.134678,0.009365
0.134989,0.009386
0.135301,0.009408
0.135612,0.009430
0.135923,0.009452
0.136234,0.009473
0.136546,0.009495
0.136857,0.009517
0.137168,0.009539
0.137479,0.009560
0.137790,0.009582
0.138101,0.009604
0.138413,0.009626
0.138724,0.009647
0.139035,0.009669
0.139346,0.009691
0.139657,0.009712
0.139968,0.009734
0.140279,0.009756
0.140590,0.009778
0.140901,0.009799
0.141212,0.009821
0.141523,0.009843
0.141834,0.009865
0.142145,0.009886
0.142456,0.009908
0.142767,0.009930
0.143078,0.009951
0.143389,0.009973
0.143700,0.009995
0.144011,0.010017
0.144322,0.010038
0.144633,0.010060
0.144943,0.010082
0.145254,0.010103
0.145565,0.010125
0.145876,0.010147
0.146187,0.010169
0.146497,0.010190
0.146808,0.010212
0.147119,0.010234
0.147430,0.010256
0.147740,0.010277
0.148051,0.010299
0.148362,0.010321
0.148672,0.010342
0.148983,0.010364
0.149294,0.010386
0.149604,0.010408
0.149915,0.010429
0.150226,0.010451
0.150536,0.010473
0.150847,0.010494
0.151157,0.010516
0.151468,0.010538
0.151778,0.010560
0.152089,0.010581
0.152399,0.010603
0.152710,0.010625
0.153020,0.010646
0.153331,0.010668
0.153641,0.010690
0.153952,0.010712
0.154262,0.010733
0.154572,0.010755
0.154883,0.010777
0.155193,0.010798
0.155504,0.010820
0.155814,0.010842
0.156124,0.010863
0.156434,0.010885
0.156745,0.010907
0.157055,0.010929
0.157365,0.010950
