# Memristor Strukov (2008) — Simulación numérica
# Generado: 2026-05-18T21:20:17.519648
# scenario: fig2b_unity
time_s,voltage_V,current_A,current_mA,resistance_Ohm,state_variable_x,memristance_Ohm
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,14410.0000,0.100000,14410.0000
1.000000e-04,3.141593e-04,2.180148e-08,2.180148e-05,14409.9997,0.100000,14409.9997
2.000000e-04,6.283185e-04,4.360295e-08,4.360295e-05,14409.9991,0.100000,14409.9991
3.000000e-04,9.424777e-04,6.540442e-08,6.540442e-05,14409.9981,0.100000,14409.9981
4.000000e-04,1.256637e-03,8.720589e-08,8.720589e-05,14409.9969,0.100000,14409.9969
5.000000e-04,1.570796e-03,1.090074e-07,1.090074e-04,14409.9954,0.100000,14409.9954
6.000000e-04,1.884954e-03,1.308088e-07,1.308088e-04,14409.9935,0.100000,14409.9935
7.000000e-04,2.199113e-03,1.526103e-07,1.526103e-04,14409.9913,0.100001,14409.9913
8.000000e-04,2.513271e-03,1.744117e-07,1.744117e-04,14409.9889,0.100001,14409.9889
9.000000e-04,2.827430e-03,1.962132e-07,1.962132e-04,14409.9861,0.100001,14409.9861
1.000000e-03,3.141587e-03,2.180146e-07,2.180146e-04,14409.9830,0.100001,14409.9830
1.100000e-03,3.455745e-03,2.398160e-07,2.398160e-04,14409.9796,0.100001,14409.9796
1.200000e-03,3.769902e-03,2.616175e-07,2.616175e-04,14409.9759,0.100002,14409.9759
1.300000e-03,4.084059e-03,2.834189e-07,2.834189e-04,14409.9718,0.100002,14409.9718
1.400000e-03,4.398216e-03,3.052203e-07,3.052203e-04,14409.9675,0.100002,14409.9675
1.500000e-03,4.712372e-03,3.270217e-07,3.270217e-04,14409.9629,0.100002,14409.9629
1.600000e-03,5.026527e-03,3.488230e-07,3.488230e-04,14409.9579,0.100003,14409.9579
1.700000e-03,5.340682e-03,3.706244e-07,3.706244e-04,14409.9527,0.100003,14409.9527
1.800000e-03,5.654837e-03,3.924258e-07,3.924258e-04,14409.9471,0.100003,14409.9471
1.900000e-03,5.968991e-03,4.142271e-07,4.142271e-04,14409.9412,0.100004,14409.9412
2.000000e-03,6.283144e-03,4.360284e-07,4.360284e-04,14409.9350,0.100004,14409.9350
2.100000e-03,6.597297e-03,4.578297e-07,4.578297e-04,14409.9285,0.100004,14409.9285
2.200000e-03,6.911449e-03,4.796310e-07,4.796310e-04,14409.9217,0.100005,14409.9217
2.300000e-03,7.225600e-03,5.014323e-07,5.014323e-04,14409.9146,0.100005,14409.9146
2.400000e-03,7.539751e-03,5.232336e-07,5.232336e-04,14409.9072,0.100006,14409.9072
2.500000e-03,7.853901e-03,5.450348e-07,5.450348e-04,14409.8994,0.100006,14409.8994
2.600000e-03,8.168050e-03,5.668360e-07,5.668360e-04,14409.8914,0.100007,14409.8914
2.700000e-03,8.482198e-03,5.886372e-07,5.886372e-04,14409.8830,0.100007,14409.8830
2.800000e-03,8.796346e-03,6.104384e-07,6.104384e-04,14409.8744,0.100008,14409.8744
2.900000e-03,9.110493e-03,6.322396e-07,6.322396e-04,14409.8654,0.100008,14409.8654
3.000000e-03,9.424638e-03,6.540407e-07,6.540407e-04,14409.8561,0.100009,14409.8561
3.100000e-03,9.738783e-03,6.758418e-07,6.758418e-04,14409.8465,0.100010,14409.8465
3.200000e-03,1.005293e-02,6.976429e-07,6.976429e-04,14409.8366,0.100010,14409.8366
3.300000e-03,1.036707e-02,7.194440e-07,7.194440e-04,14409.8264,0.100011,14409.8264
3.400000e-03,1.068121e-02,7.412450e-07,7.412450e-04,14409.8159,0.100012,14409.8159
3.500000e-03,1.099535e-02,7.630460e-07,7.630460e-04,14409.8051,0.100012,14409.8051
3.600000e-03,1.130949e-02,7.848470e-07,7.848470e-04,14409.7939,0.100013,14409.7939
3.700000e-03,1.162363e-02,8.066480e-07,8.066480e-04,14409.7825,0.100014,14409.7825
3.800000e-03,1.193777e-02,8.284489e-07,8.284489e-04,14409.7707,0.100014,14409.7707
3.900000e-03,1.225190e-02,8.502498e-07,8.502498e-04,14409.7586,0.100015,14409.7586
4.000000e-03,1.256604e-02,8.720507e-07,8.720507e-04,14409.7463,0.100016,14409.7463
4.100000e-03,1.288017e-02,8.938515e-07,8.938515e-04,14409.7336,0.100017,14409.7336
4.200000e-03,1.319431e-02,9.156523e-07,9.156523e-04,14409.7206,0.100018,14409.7206
4.300000e-03,1.350844e-02,9.374531e-07,9.374531e-04,14409.7073,0.100018,14409.7073
4.400000e-03,1.382257e-02,9.592539e-07,9.592539e-04,14409.6937,0.100019,14409.6937
4.500000e-03,1.413670e-02,9.810546e-07,9.810546e-04,14409.6797,0.100020,14409.6797
4.600000e-03,1.445082e-02,1.002855e-06,1.002855e-03,14409.6655,0.100021,14409.6655
4.700000e-03,1.476495e-02,1.024656e-06,1.024656e-03,14409.6510,0.100022,14409.6510
4.800000e-03,1.507907e-02,1.046457e-06,1.046457e-03,14409.6361,0.100023,14409.6361
4.900000e-03,1.539320e-02,1.068257e-06,1.068257e-03,14409.6209,0.100024,14409.6209
5.000000e-03,1.570732e-02,1.090058e-06,1.090058e-03,14409.6055,0.100025,14409.6055
5.100000e-03,1.602144e-02,1.111858e-06,1.111858e-03,14409.5897,0.100026,14409.5897
5.200000e-03,1.633556e-02,1.133659e-06,1.133659e-03,14409.5736,0.100027,14409.5736
5.300000e-03,1.664967e-02,1.155459e-06,1.155459e-03,14409.5572,0.100028,14409.5572
5.400000e-03,1.696379e-02,1.177259e-06,1.177259e-03,14409.5405,0.100029,14409.5405
5.500000e-03,1.727790e-02,1.199060e-06,1.199060e-03,14409.5235,0.100030,14409.5235
5.600000e-03,1.759201e-02,1.220860e-06,1.220860e-03,14409.5061,0.100031,14409.5061
5.700000e-03,1.790612e-02,1.242660e-06,1.242660e-03,14409.4885,0.100032,14409.4885
5.800000e-03,1.822023e-02,1.264461e-06,1.264461e-03,14409.4706,0.100033,14409.4706
5.900000e-03,1.853434e-02,1.286261e-06,1.286261e-03,14409.4523,0.100034,14409.4523
6.000000e-03,1.884844e-02,1.308061e-06,1.308061e-03,14409.4337,0.100036,14409.4337
6.100000e-03,1.916254e-02,1.329861e-06,1.329861e-03,14409.4149,0.100037,14409.4149
6.200000e-03,1.947664e-02,1.351661e-06,1.351661e-03,14409.3957,0.100038,14409.3957
6.300000e-03,1.979074e-02,1.373461e-06,1.373461e-03,14409.3762,0.100039,14409.3762
6.400000e-03,2.010484e-02,1.395261e-06,1.395261e-03,14409.3564,0.100040,14409.3564
6.500000e-03,2.041893e-02,1.417061e-06,1.417061e-03,14409.3363,0.100042,14409.3363
6.600000e-03,2.073303e-02,1.438861e-06,1.438861e-03,14409.3158,0.100043,14409.3158
6.700000e-03,2.104712e-02,1.460660e-06,1.460660e-03,14409.2951,0.100044,14409.2951
6.800000e-03,2.136121e-02,1.482460e-06,1.482460e-03,14409.2741,0.100046,14409.2741
6.900000e-03,2.167529e-02,1.504260e-06,1.504260e-03,14409.2527,0.100047,14409.2527
7.000000e-03,2.198938e-02,1.526059e-06,1.526059e-03,14409.2310,0.100048,14409.2310
7.100000e-03,2.230346e-02,1.547859e-06,1.547859e-03,14409.2091,0.100050,14409.2091
7.200000e-03,2.261754e-02,1.569659e-06,1.569659e-03,14409.1868,0.100051,14409.1868
7.300000e-03,2.293162e-02,1.591458e-06,1.591458e-03,14409.1642,0.100053,14409.1642
7.400000e-03,2.324569e-02,1.613257e-06,1.613257e-03,14409.1413,0.100054,14409.1413
7.500000e-03,2.355976e-02,1.635057e-06,1.635057e-03,14409.1181,0.100055,14409.1181
7.600000e-03,2.387384e-02,1.656856e-06,1.656856e-03,14409.0946,0.100057,14409.0946
7.700000e-03,2.418790e-02,1.678655e-06,1.678655e-03,14409.0707,0.100058,14409.0707
7.800000e-03,2.450197e-02,1.700455e-06,1.700455e-03,14409.0466,0.100060,14409.0466
7.900000e-03,2.481603e-02,1.722254e-06,1.722254e-03,14409.0222,0.100061,14409.0222
8.000000e-03,2.513010e-02,1.744053e-06,1.744053e-03,14408.9974,0.100063,14408.9974
8.100000e-03,2.544415e-02,1.765852e-06,1.765852e-03,14408.9723,0.100065,14408.9723
8.200000e-03,2.575821e-02,1.787651e-06,1.787651e-03,14408.9470,0.100066,14408.9470
8.300000e-03,2.607226e-02,1.809450e-06,1.809450e-03,14408.9213,0.100068,14408.9213
8.400000e-03,2.638632e-02,1.831249e-06,1.831249e-03,14408.8953,0.100069,14408.8953
8.500000e-03,2.670036e-02,1.853047e-06,1.853047e-03,14408.8690,0.100071,14408.8690
8.600000e-03,2.701441e-02,1.874846e-06,1.874846e-03,14408.8423,0.100073,14408.8423
8.700000e-03,2.732845e-02,1.896645e-06,1.896645e-03,14408.8154,0.100075,14408.8154
8.800000e-03,2.764249e-02,1.918443e-06,1.918443e-03,14408.7882,0.100076,14408.7882
8.900000e-03,2.795653e-02,1.940242e-06,1.940242e-03,14408.7606,0.100078,14408.7606
9.000000e-03,2.827057e-02,1.962040e-06,1.962040e-03,14408.7328,0.100080,14408.7328
9.100000e-03,2.858460e-02,1.983839e-06,1.983839e-03,14408.7046,0.100081,14408.7046
9.200000e-03,2.889863e-02,2.005637e-06,2.005637e-03,14408.6762,0.100083,14408.6762
9.300000e-03,2.921266e-02,2.027435e-06,2.027435e-03,14408.6474,0.100085,14408.6474
9.400000e-03,2.952668e-02,2.049233e-06,2.049233e-03,14408.6183,0.100087,14408.6183
9.500000e-03,2.984070e-02,2.071031e-06,2.071031e-03,14408.5889,0.100089,14408.5889
9.600000e-03,3.015472e-02,2.092829e-06,2.092829e-03,14408.5592,0.100091,14408.5592
9.700000e-03,3.046873e-02,2.114627e-06,2.114627e-03,14408.5292,0.100093,14408.5292
9.800000e-03,3.078274e-02,2.136425e-06,2.136425e-03,14408.4988,0.100094,14408.4988
9.900000e-03,3.109675e-02,2.158223e-06,2.158223e-03,14408.4682,0.100096,14408.4682
1.000000e-02,3.141076e-02,2.180021e-06,2.180021e-03,14408.4372,0.100098,14408.4372
1.010000e-02,3.172476e-02,2.201818e-06,2.201818e-03,14408.4060,0.100100,14408.4060
1.020000e-02,3.203876e-02,2.223616e-06,2.223616e-03,14408.3744,0.100102,14408.3744
1.030000e-02,3.235276e-02,2.245413e-06,2.245413e-03,14408.3425,0.100104,14408.3425
1.040000e-02,3.266675e-02,2.267211e-06,2.267211e-03,14408.3103,0.100106,14408.3103
1.050000e-02,3.298074e-02,2.289008e-06,2.289008e-03,14408.2778,0.100108,14408.2778
